hotel,description
Casa Eternal Resort Mandrem,"This hotel has a price of US$151, score is 8.5
Scored 8.5, average review is Very Good, and reviews count is 6"
Zulu Land cottages - near Curlies beach shack and shiva valley - Anjuna beach,"This hotel has a price of US$233, score is 7.8
Scored 7.8, average review is Good, and reviews count is 2,521"
Storii By ITC Hotels Moira Riviera,"This hotel has a price of US$959, score is 8.5
Scored 8.5, average review is Very Good, and reviews count is 81"
Ronnie's Studio Apartment,"This hotel has a price of US$302, score is 7.9
Scored 7.9, average review is Good, and reviews count is 162"
Nirvana Hill Resort,"This hotel has a price of US$413, score is 8.5
Scored 8.5, average review is Very Good, and reviews count is 114"
Mojigao,"This hotel has a price of US$623, score is 9.2
Scored 9.2, average review is Wonderful, and reviews count is 371"
"Riverside, The European Homestay 1 and 2! Luxury and Value in Goa's delightful location","This hotel has a price of US$123, score is 8.9
Scored 8.9, average review is Excellent, and reviews count is 15"
"Shivam Resort With Swimming Pool ,Managed By The Four Season - 1 km from Calangute Beach","This hotel has a price of US$102, score is 6.8
Scored 6.8, average review is Review score, and reviews count is 26"
Sea Sapphire,"This hotel has a price of US$187, score is 8.7
Scored 8.7, average review is Excellent, and reviews count is 963"
"La Vera Boutique Hotel, Mandrem","This hotel has a price of US$179, score is 7.9
Scored 7.9, average review is Good, and reviews count is 360"
Casa Do Leão A 150 year Old Portuguese Home,"This hotel has a price of US$302, score is 9.4
Scored 9.4, average review is Wonderful, and reviews count is 45"
Lamrin Ucassaim Goa A 18th Century Portuguese Villa,"This hotel has a price of US$753, score is 9.1
Scored 9.1, average review is Wonderful, and reviews count is 40"
"Hotel in GOA With Swimming Pool ,Managed By The Four Season - Close to Baga Beach","This hotel has a price of US$113, score is 7.3
Scored 7.3, average review is Good, and reviews count is 19"
Antarim Resort,"This hotel has a price of US$562, score is 8.6
Scored 8.6, average review is Excellent, and reviews count is 245"
Omkar wellness inn,"This hotel has a price of US$89, score is 8.0
Scored 8.0, average review is Very Good, and reviews count is 169"
Goa Villagio Resort & Spa -05 Min Walk from Beach,"This hotel has a price of US$327, score is 8.1
Scored 8.1, average review is Very Good, and reviews count is 33"
"Sandbanks Beach Villas, Morjim","This hotel has a price of US$417, score is 9.1
Scored 9.1, average review is Wonderful, and reviews count is 134"
The Ivy Anjuna,"This hotel has a price of US$313, score is 8.1
Scored 8.1, average review is Very Good, and reviews count is 437"
Skon Morjim Beach Resort by Orion Hotels,"This hotel has a price of US$277, score is 7.4
Scored 7.4, average review is Good, and reviews count is 88"
"TATA Rio De Goa - Resort style apt,6 KM from Airport","This hotel has a price of US$270, score is 7.8
Scored 7.8, average review is Good, and reviews count is 58"
Calangute Ocean Wave,"This hotel has a price of US$122, score is 8.4
Scored 8.4, average review is Very Good, and reviews count is 467"
The Astor - All Suites Hotel Candolim Goa,"This hotel has a price of US$647, score is 9.4
Scored 9.4, average review is Wonderful, and reviews count is 127"
"Storii By ITC Hotels, Shanti Morada Goa","This hotel has a price of US$611, score is 9.2
Scored 9.2, average review is Wonderful, and reviews count is 403"
Blu Missel By The River,"This hotel has a price of US$297, score is 7.8
Scored 7.8, average review is Good, and reviews count is 181"
"SHANU'S SEASIDE INN - A Guesthouse, 100 metres to Candolim Beach","This hotel has a price of US$189, score is 8.6
Scored 8.6, average review is Excellent, and reviews count is 267"
